Brot, Margarine, Nougatcreme, Streichkäse, Rindfleisch, Hühnchenfleisch, Schokolade, Joghurt, Milch, Lutscher, Shampoo, Deodorant, Zahnpasta
1,0,1,1,0,0,1,0,0,1,0,0,0
0,1,0,0,0,0,1,0,0,1,0,0,0
1,0,1,0,0,0,0,0,1,1,0,0,0
1,1,0,1,0,1,1,0,0,0,1,0,1
0,0,0,0,1,0,1,0,1,0,0,1,0
1,0,0,0,1,1,0,0,1,0,1,0,1
1,0,1,1,0,0,1,0,1,1,0,0,0
0,0,0,0,1,0,1,0,0,1,0,0,0
0,1,0,0,0,0,1,1,0,0,0,0,1
1,0,1,0,0,1,1,0,0,0,0,0,0
1,1,0,1,1,1,1,0,1,0,1,0,0
0,0,1,0,1,1,1,0,0,1,0,0,1
1,0,0,0,0,0,0,0,1,0,0,0,0
1,0,1,0,1,1,1,0,0,0,0,0,1
0,1,0,0,0,0,1,1,0,1,0,0,1
0,0,1,0,1,0,1,0,0,0,0,0,1
1,0,0,0,0,1,0,0,1,0,0,0,0
1,1,0,0,1,1,1,0,0,0,0,0,0
1,0,1,0,0,0,1,0,1,1,0,1,1
1,1,0,1,1,0,1,0,0,0,0,0,0
0,0,0,1,0,1,1,1,0,1,0,1,0
0,0,0,1,0,1,1,0,1,0,1,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,1,0,0,0,0,0,1
1,0,0,1,0,0,1,0,1,1,0,0,0
0,1,1,0,0,1,1,1,0,0,1,0,1
1,0,1,0,1,0,0,0,0,1,0,0,0
1,0,0,1,0,0,0,0,1,1,0,0,0
