Brot, Getränke, Marmelade, Guacamole, Hummus, Karotte, Bohnen, Paprika, Margarine, Mehl, Reis, Salat, Spaghetti
1,0,0,0,0,0,1,0,1,0,1,1,1
1,1,1,1,0,0,0,0,1,1,0,1,1
1,1,0,0,1,1,0,0,0,1,1,0,1
1,0,0,0,0,0,0,1,0,1,1,1,1
1,1,1,0,0,0,1,1,1,0,0,1,0
1,1,0,0,1,0,0,0,1,0,1,1,1
1,0,0,1,0,1,1,0,1,1,1,1,1
1,0,1,0,0,1,0,0,0,0,1,0,1
0,1,0,0,1,0,1,0,0,1,0,1,0
1,0,0,0,1,0,1,1,1,1,0,1,1
1,1,0,0,0,0,0,0,1,0,1,1,1
1,0,0,0,0,0,0,0,0,1,0,1,1
0,1,0,1,0,0,1,1,0,1,1,1,0
1,1,0,0,1,0,0,0,1,1,0,0,0
1,0,0,0,0,1,1,1,0,0,1,1,1
1,0,0,0,0,0,0,0,1,1,1,0,0
1,1,1,0,0,0,1,0,1,1,0,1,1
1,1,0,1,1,0,1,0,0,1,1,1,1
1,0,0,0,0,1,0,0,1,0,1,0,1
1,0,1,0,0,0,1,0,0,1,0,0,0
1,1,0,1,1,1,0,0,0,1,0,1,1
1,1,1,0,0,0,1,1,1,0,0,0,1
1,0,0,1,0,1,0,0,0,0,1,1,0
1,0,1,0,0,0,1,0,0,1,0,1,1
1,1,0,0,1,1,0,1,1,0,1,0,1
0,0,1,0,0,0,0,0,0,1,0,1,0
1,1,0,1,0,0,0,0,1,0,1,1,1
1,0,1,0,0,0,1,1,0,1,0,0,1
