Brot, Getränke, Guacamole, Hummus, Karotte, Bohnen, Paprika, Margarine, Mehl, Salat, Lasagne, Tortellini
1,0,1,0,0,0,1,0,1,0,1,1
1,1,1,0,0,1,1,1,1,1,1,1
1,0,0,0,0,0,0,0,0,1,0,0
1,1,1,0,1,1,0,1,1,1,1,0
1,1,1,0,0,0,1,0,0,1,1,0
1,1,0,0,0,0,1,1,0,0,0,1
1,0,0,0,1,1,0,1,1,1,1,0
0,1,0,0,0,0,0,0,0,0,1,1
1,0,0,0,1,1,1,1,1,0,1,0
1,1,0,0,0,0,0,1,0,1,0,1
1,0,1,0,0,1,0,0,1,0,1,0
0,1,0,1,0,0,1,1,0,1,1,1
1,0,0,0,0,1,1,0,1,1,0,1
1,1,1,0,1,0,0,1,0,1,1,0
1,0,0,0,0,0,1,0,0,1,0,0
0,0,0,0,0,0,0,1,1,0,1,0
1,1,1,0,1,1,0,0,0,0,1,0
1,0,0,0,0,0,1,1,0,1,0,1
1,1,1,0,1,0,1,0,1,1,1,0
1,0,0,0,0,0,0,1,0,0,1,0
1,1,0,0,1,1,0,0,0,1,1,1
1,0,1,0,0,1,1,0,0,0,0,1
1,1,0,0,0,0,0,1,1,1,1,0
1,1,0,0,0,0,1,0,0,1,1,1
1,1,1,0,1,0,1,0,1,0,0,0
1,0,0,0,0,0,1,1,0,1,1,1
1,0,0,0,0,1,1,1,1,1,1,0
1,0,0,0,0,0,0,0,0,1,0,1
