Brot, Margarine, Nutella, Streichkäse, Rindfleisch, Hühnchenfleisch, Bohnen, Schokolade, Joghurt, Milch, Lutscher
1,1,0,0,0,1,1,1,0,0,1
1,0,0,1,0,1,0,1,0,0,0
1,0,0,0,0,0,1,0,0,0,1
1,1,1,0,1,1,0,1,0,1,0
0,0,0,0,1,0,1,0,1,0,0
1,0,0,0,0,0,0,1,0,0,1
1,0,0,0,0,1,1,0,0,1,0
0,1,0,0,1,0,1,1,0,0,1
1,0,1,1,0,1,0,0,0,0,0
1,1,0,0,0,0,1,1,0,1,1
0,1,1,0,1,1,1,0,0,0,0
0,0,0,1,1,1,1,1,0,1,1
1,0,0,0,0,0,0,1,0,0,1
1,1,1,0,1,1,1,1,0,0,0
1,1,0,0,1,1,0,1,0,0,1
1,0,1,1,0,0,1,0,0,1,0
0,0,1,0,0,0,1,1,0,1,0
1,1,0,0,1,1,0,1,0,1,1
0,0,0,1,0,1,1,0,1,0,0
1,1,1,1,0,0,1,1,0,0,0
1,0,1,0,1,0,0,1,0,0,1
0,1,0,0,0,1,1,1,0,0,0
0,0,1,0,1,1,1,1,0,1,1
1,1,0,0,0,0,1,0,0,0,1
0,0,1,1,0,0,1,1,1,1,0
1,1,0,0,1,1,1,1,0,1,1
1,0,1,0,0,1,1,0,0,0,0
0,1,0,0,1,0,1,0,0,0,1
