Brot,Hühnchen, Käse, Margarine, Mehl, Reis, Salat, Schokolade, Spaghetti, Wurst
1,0,1,1,0,1,0,1,1,1
1,0,1,1,1,1,0,0,1,0
1,1,0,0,0,1,1,0,0,1
1,0,0,1,1,1,0,1,0,1
1,0,1,1,0,0,0,1,0,0
0,0,0,1,1,0,0,0,0,1
1,1,1,0,0,1,0,1,1,0
0,0,1,1,0,1,0,0,1,0
1,0,0,0,1,1,0,1,0,0
1,1,0,1,1,0,0,0,0,1
1,0,0,0,0,1,1,0,0,0
1,0,0,0,1,1,0,1,1,0
1,0,0,1,1,1,1,0,0,0
1,0,1,1,0,0,0,1,0,1
1,1,0,1,1,1,0,0,1,1
1,0,0,0,0,1,0,1,1,1
1,0,1,1,1,0,1,0,0,0
1,1,0,1,0,0,1,1,1,0
1,0,1,0,1,1,0,1,0,0
1,1,0,0,0,0,0,0,1,1
1,1,1,0,0,1,0,1,1,0
1,0,0,1,1,1,1,1,0,0
1,0,1,0,1,0,0,1,0,1
1,0,0,1,0,1,1,1,1,0
1,0,1,1,1,0,1,1,1,1
1,0,1,0,1,1,0,1,1,0
0,0,0,1,0,1,0,0,1,0
1,0,1,0,0,0,0,0,0,1
