Brot, Getränke, Käse, Margarine, Mehl, Reis, Salat, Schokolade, Spaghetti
1,0,0,1,0,0,0,0,0
1,1,0,1,1,1,0,1,0
1,1,0,0,1,0,1,0,1
0,0,0,0,1,0,0,1,0
1,1,1,0,0,1,1,1,0
1,1,1,1,1,0,0,1,0
1,1,0,0,0,1,0,0,1
1,0,0,0,0,1,0,1,0
1,0,0,1,0,0,0,0,0
0,1,0,0,1,0,0,1,1
1,0,0,0,0,1,1,1,0
1,0,0,1,1,1,0,0,1
1,0,0,0,0,1,1,0,1
1,1,0,1,1,0,0,1,1
1,0,1,0,0,0,0,0,1
0,0,0,1,1,1,0,0,0
1,1,0,0,0,0,1,1,0
1,1,0,0,1,1,0,0,0
1,0,0,1,1,0,0,0,1
1,1,1,0,0,1,1,1,0
1,0,0,1,0,0,0,0,0
1,1,1,0,1,1,1,1,1
1,0,0,1,0,0,0,0,0
1,1,0,0,1,0,0,1,1
1,0,0,1,1,1,0,0,0
0,0,0,0,0,1,1,0,0
1,0,0,1,1,0,0,1,1
1,1,0,0,0,1,1,0,0
