Brot, Butter, Nutella, Streichkäse, Bauernschmaus, Rindfleisch, Hühnchenfleisch, Bohnen, Schokolade, Joghurt, Sahne, Milch, Eis
1,0,1,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,1,1,1,0,0,0,0
1,0,1,0,0,1,0,1,1,0,0,0,0
0,0,0,0,1,0,0,0,0,1,0,0,1
1,0,0,1,0,1,1,1,1,0,0,0,1
1,0,0,0,0,0,0,1,1,0,1,0,0
0,0,1,0,1,1,1,1,1,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,1,0
1,1,1,0,0,1,1,1,1,0,0,0,0
1,0,1,1,1,0,0,1,0,0,0,0,1
1,0,0,0,0,1,1,0,1,0,0,1,0
1,1,1,0,0,0,0,1,0,0,0,0,0
0,0,0,1,0,1,1,1,1,1,1,0,1
1,1,1,0,0,1,0,0,0,0,0,1,1
0,0,1,0,0,0,1,1,1,0,0,0,1
1,1,0,0,0,1,1,1,1,0,0,1,1
1,0,0,1,0,1,0,0,0,0,0,1,0
1,0,1,0,0,0,1,0,1,0,0,0,1
0,0,0,0,0,1,1,1,1,0,0,0,0
1,1,0,1,0,0,0,1,1,0,0,0,1
1,0,1,0,1,1,1,1,0,0,0,1,0
0,1,0,0,0,0,0,1,1,0,0,0,1
1,1,0,1,0,1,1,1,1,0,1,1,0
1,0,1,0,0,0,0,1,1,0,0,0,1
0,0,0,1,0,1,1,1,1,1,0,1,0
1,1,1,0,0,0,0,1,0,0,1,0,0
1,0,1,0,0,1,0,1,1,0,0,0,0
1,1,0,1,0,0,0,1,1,1,1,0,1
